id,genre
01004878,3
01014860,5
01014867,3
00996773,2
01038234,2
01038240,1
01038243,3
00980458,0
00996745,3
01006550,3
01010889,1
00952441,2
01002092,3
01032043,1
01047547,0
01047550,5
00975969,4
00954366,4
01000809,3
01000812,2
00934195,0
01040308,0
01040312,3
01040315,1
01040318,1
00999835,4
00999840,4
00999850,0
01032575,5
01032578,4
01032587,4
00931720,5
00971915,1
00971918,2
00919052,0
00919055,5
00919058,2
00919061,3
00919064,5
00919067,1
00919070,4
00919073,0
00964094,0
01051838,1
00993772,4
00993775,2
01041875,3
01026239,5
01015590,2
01015593,5
01015596,5
01003982,4
01003985,3
00975876,3
00971622,3
01030791,5
01030794,3
01012953,0
01012961,3
00998908,2
00998911,5
01040725,5
01040728,5
00916842,4
01031257,1
01048363,5
01059769,2
01042113,5
01042116,3
01040243,5
01040252,1
00984860,4
00982706,5
00982709,5
00992885,4
01034498,1
01034501,2
01021662,0
01045307,0
01045310,1
01061597,1
01032476,5
01032479,1
01032482,5
01032485,1
00977698,5
01045607,2
01047332,2
00973824,0
00973827,4
00911010,2
00911014,0
00949254,0
00963937,5
00963940,5
01043994,0
01043997,5
00969109,0
01003689,0
00992712,3
00992715,3
01026242,2
00973814,3
01029911,3
01045328,5
00926701,0
00926705,5
00926709,5
00919816,1
00954021,5
00936560,3
01021223,1
01001232,2
00933753,0
00930303,1
00947525,3
00947528,1
00947531,5
00947534,3
00917671,1
00917674,3
00917677,3
00930304,5
00921973,1
00981734,4
00957133,3
00957136,2
00976150,4
00913168,1
00976186,4
00949307,1
00936328,4
00936331,0
00988122,2
00988125,0
00964085,0
00964088,1
00964091,0
01034566,3
00976500,4
00980461,5
00968295,2
00968299,2
00968302,5
00963807,0
00963810,4
00987277,2
00989794,0
00976126,2
00976129,5
00976132,4
00956104,0
00976142,2
00962409,5
00962412,5
00969747,2
00994052,0
00994088,4
00993080,3
01033955,5
01033958,0
01033961,4
01048083,3
01034556,4
00947520,3
01030779,3
01023996,0
01023214,4
01055892,0
00961350,5
00961353,1
01015303,2
00919770,1
00919774,2
00919777,1
00988371,1
00991773,2
01028738,2
01028741,4
01006330,5
01023012,3
01031221,2
01031224,4
01015201,4
00988374,2
00911169,3
01044460,4
01044463,1
01031464,3
01031467,3
01031470,2
01028059,1
01028062,5
01028065,1
01042079,1
01042082,4
01042085,1
01010808,2
01010811,3
01000237,4
01028762,1
01050584,4
01050589,0
01050594,4
01050597,4
01032162,3
01032165,5
01004572,5
01039855,5
00982718,2
01018435,5
01018438,3
01018442,5
00959736,4
00959740,5
01023056,3
01023060,2
01023063,3
01020265,2
00974046,3
00987806,0
00987809,3
01044457,3
00994440,4
00994443,1
01034848,3
01044916,3
01017556,4
00996468,5
00996485,3
00933297,0
00933301,1
00933305,4
00933310,5
00933315,3
00944274,5
01052293,1
00917728,4
00917731,0
00917736,4
01014873,1
01014879,2
01017726,3
01017729,2
01052840,2
01052843,2
00939096,4
00991445,0
00991448,4
01039743,5
00977238,5
01015793,0
01039268,1
00964218,4
01018269,3
01018274,0
01004225,5
01041673,1
01041678,1
00918094,2
01015750,3
01042626,2
01042629,4
01034583,2
01034586,0
01034589,0
01034592,3
01027388,0
01027400,3
00919226,3
01052997,4
01053000,5
01052224,1
01052227,3
00918553,4
01021684,2
01021687,2
01021690,0
01021693,1
01029355,2
01029369,2
01029372,2
01029375,3
00992032,0
01013853,0
01013857,4
01013860,0
01001388,2
01029972,0
00919810,0
01031682,2
01002598,3
01005586,0
01014678,4
01019815,5
01019818,5
00968025,1
01054702,3
01045313,2
00982896,2
01030774,3
01030777,5
01052472,5
01039078,3
01039083,4
01039086,3
01022579,3
00931707,1
00931711,4
00931714,0
00931717,4
00979226,4
01025173,0
00961449,5
01040732,4
01040735,5
01040738,0
01040741,3
01040744,3
01040748,5
01015762,1
01015765,2
01048571,1
01048574,4
01048577,0
01048580,4
01033964,2
00962998,4
00963001,2
00963004,4
00963007,4
00922023,3
00922026,0
00922029,0
00922032,5
01027211,0
00998494,4
01006725,2
01006728,0
01006731,3
00917959,2
00917962,3
00917965,3
01031121,1
01018033,0
01018054,5
01018061,5
01018065,5
01018068,0
01005838,0
01005841,1
01005844,2
00913728,4
00913732,1
00980070,3
00980073,3
00980076,5
00980079,2
01000240,3
01000243,1
01033873,3
01033876,3
01028940,0
01028943,3
01028946,1
01028949,3
01028952,1
01028955,2
01033471,1
01033475,2
01033478,1
01040722,0
00982717,4
01014310,5
01014317,4
01014320,5
00929585,5
01048456,5
01008247,1
01005914,5
01005917,4
00971059,0
