id,genre
01004225,1
00946250,2
01041673,1
01015793,0
00970040,4
01018274,4
00970037,3
00964218,1
01020310,2
01020316,4
01020313,1
01033393,4
00968959,5
01018666,2
01018671,3
00926714,2
00961320,3
00969735,3
00983420,4
01020307,2
00961323,2
00952094,3
00983417,4
00935094,1
01018661,1
01015099,1
01018656,1
01018679,2
00946953,1
01015746,5
01018691,1
01018688,1
01034586,1
01018676,4
01052997,1
01018682,1
01042629,5
01027388,2
00919226,5
01034583,1
01053000,1
00946950,5
01015750,1
01042626,4
00946947,3
01034592,1
01018685,3
00946956,2
01027400,3
01034589,1
01052224,5
01017265,1
01052227,1
01045354,1
01027477,4
01045357,3
01027496,2
01045360,2
00918487,3
01052230,1
00955124,1
01017262,2
01035765,5
01052233,5
01015717,1
01035773,4
01045351,1
01027490,2
01015714,1
01027468,4
00961956,2
00919807,4
01027485,5
00961953,2
00992882,5
00994483,1
00998446,4
00994480,5
00939618,3
01029029,2
00939615,1
00932393,1
01029023,4
01029026,2
01035199,1
00994474,2
00939621,2
00980756,4
01029822,4
01035202,3
01029764,1
00994477,1
01029868,3
00992889,3
00939627,2
01029789,3
00992885,2
00939624,4
01038742,1
00962578,5
01048470,2
00928693,1
00919468,2
01040068,4
00962575,4
00998452,3
01049192,4
01031771,0
01052942,1
01040075,1
01031774,1
00928690,2
00962584,4
01052992,4
01038733,2
00998449,4
01052995,1
00920486,3
01040084,1
01040081,1
01031768,1
01040078,4
01038738,1
00962581,5
00958551,4
00997876,1
01034469,1
00997880,1
00974656,5
00958563,4
01034472,1
01034478,2
00997868,5
00940049,2
00958556,3
01039053,1
00974653,1
00958560,1
01034475,1
00974647,1
00974650,1
01039060,2
00974621,2
00992709,1
01034578,2
01030098,1
00959326,2
00959330,4
01034569,2
01039063,1
01030092,2
00992715,1
01021097,5
01056390,1
01034575,2
01001921,1
00974625,1
01033010,1
01030095,1
00994612,2
01030087,5
00959323,4
00959334,3
01034566,3
01001917,1
01001927,1
00992712,2
00926701,5
00936560,2
00929287,1
01049841,2
01033694,1
00926709,5
01021223,4
01055900,1
01037659,2
00954021,4
00929290,3
00920667,2
01033687,4
00919816,2
00919841,4
01037656,1
00926705,2
00923444,2
01055897,1
01033691,1
00929284,1
00993407,4
01049838,1
01045328,2
01033719,2
01027591,1
01027604,3
01001232,4
01027607,3
01027616,2
00998113,1
01027587,1
01027610,3
01036345,2
01027613,2
01036338,4
00989070,3
01033716,5
01027601,2
00988889,1
01027597,4
01027594,1
00988780,1
01036342,4
00964726,4
00998638,1
01003011,3
01003015,2
00961448,2
01027619,1
01029936,4
01040827,3
01015307,3
01015310,3
01040869,3
00988927,2
00988746,3
01040860,2
01040835,3
01027622,3
01029933,1
01040863,4
01015316,3
01040852,2
00988832,1
